Time Stamp,Voltage,Last Stable Current
4392754,56.28689509,
4392786,56.2823415,
4392817,56.28461829,
4392848,56.28461829,
4392880,56.2823415,
4392912,56.2823415,
4392943,56.28461829,
4392975,56.28917188,
4393006,56.28461829,
4393037,56.28461829,
4393068,56.28689509,
4393100,56.28461829,
4393228,56.28689509,
4393359,56.28461829,
4393391,56.2823415,
4393423,56.28461829,
4393454,56.28461829,
4393486,56.28461829,
4393517,56.28689509,
4393548,56.28006471,
4393580,56.28461829,
4393611,56.2823415,
4393643,56.28461829,
4393674,56.28461829,
4393706,56.28689509,
4393737,56.28461829,
4393768,56.28917188,
4393800,56.28461829,
4393831,56.28461829,
4393863,56.28006471,
4393894,56.28689509,
4393926,56.28461829,
4394047,56.28689509,
4394178,56.28689509,
4394210,56.2823415,
4394242,56.28461829,
4394273,56.28461829,
4394305,56.28461829,
4394336,56.2823415,
4394368,56.28689509,
4394399,56.28461829,
4394431,56.28461829,
4394462,56.28689509,
4394493,56.28461829,
4394525,56.28689509,
4394556,56.28461829,
4394588,56.28461829,
4394619,56.28461829,
4394651,56.2823415,
4394682,56.28917188,
4394714,56.28461829,
4394745,56.28461829,
4394952,56.28461829,
4395083,56.28461829,
4395114,56.28461829,
4395146,56.28461829,
4395178,56.28461829,
4395209,56.28689509,
4395241,56.28461829,
4395272,56.28461829,
4395303,56.28461829,
4395335,56.2823415,
4395366,56.28461829,
4395397,56.28461829,
4395429,56.28461829,
4395461,56.28689509,
4395492,56.2823415,
4395523,56.2823415,
4395555,56.28689509,
4395586,56.28461829,
4395617,56.28461829,
4395649,56.28461829,
4395894,56.28461829,
4396025,56.28461829,
4396058,56.28461829,
4396089,56.28461829,
4396120,56.2823415,
4396152,56.28461829,
4396183,56.2823415,
4396215,56.28461829,
4396246,56.28461829,
4396278,56.28917188,
4396309,56.28461829,
4396340,56.28461829,
4396372,56.28461829,
4396403,56.2823415,
4396434,56.28461829,
4396466,56.28461829,
4396497,56.2823415,
4396529,56.28689509,
4396560,56.28461829,
