date,time,time_passed_since_start,Current Out 1,Current Out 2,Current In 1,Current In 2,Voltage,Lost Data
2026-02-25,14:36:00.030537,115352,-0.116250002,1.121250057,-2.2125,1.1625,57.1725,0
2026-02-25,14:36:00.030537,116441,-0.093750006,0.716250038,3.31875,0.697500038,57.1725,0
2026-02-25,14:36:00.030537,117528,-0.089999998,1.064999962,-0.363750005,1.061250019,57.1725,0
2026-02-25,14:36:00.030537,118618,-0.093750006,0.80625,1.061250019,0.907499981,57.1725,0
2026-02-25,14:36:00.030537,119705,-0.108749998,0.7725,2.973749924,0.738750029,57.1725,0
2026-02-25,14:36:05.521990,120840,-0.075,0.7875,2.11125,0.836250019,57.1725,0
2026-02-25,14:36:05.521990,121927,-0.093750006,0.8625,2.41125,0.798750019,57.17475,0
2026-02-25,14:36:05.521990,123014,-0.104999995,1.102500057,-1.627500153,1.121250057,57.1725,0
2026-02-25,14:36:05.521990,124103,-0.097500002,-2.126249886,7.826250458,-1.89375,57.1725,0
2026-02-25,14:36:05.521990,125197,-0.15,1.14375,-2.729999924,1.226249981,57.1725,0
2026-02-25,14:36:11.037234,126334,-0.138750005,1.185000038,-3.07125,1.21875,57.1725,0
2026-02-25,14:36:11.037234,127425,-0.123749995,-2.00625,7.477500153,-1.702499962,57.1725,0
2026-02-25,14:36:11.037234,128517,-0.123749995,1.185000038,-4.166249847,1.24125,57.17475,0
2026-02-25,14:36:11.037234,129607,-0.089999998,0.592500019,3.386250305,0.551250029,57.17475,0
2026-02-25,14:36:11.037234,130696,-0.089999998,1.185000038,-0.78375,1.2,57.17025,0
2026-02-25,14:36:16.518736,131847,-0.123749995,0.73499999,2.302499962,0.731249952,57.1725,0
2026-02-25,14:36:16.518736,132936,-0.101250005,1.113750076,0.322500014,1.0875,57.17025,0
2026-02-25,14:36:16.518736,134022,-0.138750005,1.177500057,-1.353750038,1.23,57.1725,0
2026-02-25,14:36:16.518736,135111,-0.06375,0.61875,3.390000153,0.588750029,57.17475,0
2026-02-25,14:36:16.518736,136199,-0.104999995,1.0875,0.183749998,1.06875,57.1725,0
2026-02-25,14:36:22.002727,137333,-0.05625,0.62249999,3.348750305,0.58499999,57.17475,0
2026-02-25,14:36:22.002727,138420,-0.142499995,1.05375,0.742499971,1.00875,57.16575,0
2026-02-25,14:36:22.002727,139508,-0.12,1.072499943,-0.88125,1.098750019,57.9465,0
2026-02-25,14:36:22.002727,140598,-0.123749995,0.963750076,1.125,0.94875,57.7305,0
2026-02-25,14:36:22.002727,141685,-0.093750006,1.13625,0.96,1.151249981,57.1725,0
2026-02-25,14:36:27.484654,142821,-0.097500002,1.001249981,1.072499943,0.97125,57.17475,0
2026-02-25,14:36:27.484654,143908,-0.116250002,1.158749962,0.92625,1.188750076,57.1725,0
2026-02-25,14:36:27.484654,144995,-0.097500002,0.967500019,1.098750019,0.986250019,57.17475,0
2026-02-25,14:36:27.484654,146084,-0.093750006,1.02,1.061250019,0.99375,57.1725,0
2026-02-25,14:36:27.484654,147171,-0.123749995,1.132499981,0.933749962,1.177500057,57.1725,0
2026-02-25,14:36:32.987575,148315,-0.13125,1.072499943,1.001249981,1.117500019,57.1725,0
2026-02-25,14:36:32.987575,149402,-0.067500001,0.933749962,1.132499981,0.907499981,57.17475,0
2026-02-25,14:36:32.987575,150490,-0.101250005,1.125,0.95625,1.139999962,57.177,0
2026-02-25,14:36:32.987575,151578,-0.12,1.02,1.046250057,1.057499981,57.17475,0
2026-02-25,14:36:32.987575,152666,-0.075,0.941250038,1.132499981,0.915,57.1725,0
