SoC,R0,R1,R2,C1,C2,Tau1,Tau2,A1,A2
52.215,0.060446555817844194,0.03939802947468911,0.02768939003844722,619.6381154655004,7397.048102061772,23.30416032493525,222.11060262324688,0.39909462600167883,0.3180449964739305
52.216,0.06044584609838713,0.039398173152569736,0.027689442720038124,619.6373553486382,7397.003834991221,23.304226073574394,222.11110582854167,0.39909579921963373,0.31804495916586223
52.217,0.06044513633903236,0.03939831687038296,0.027689495505949232,619.6365949393091,7396.959560312683,23.30429185119156,222.1116092542661,0.399096972256716,0.31804492189899025
52.218,0.06044442653978841,0.03939846062812637,0.027689548396180118,619.6358342375134,7396.915278026158,23.3043576577858,222.1121129004111,0.39909814511290354,0.31804488467331227
52.219,0.06044371670066382,0.03939860442579752,0.02768960139073037,619.635073243251,7396.870988131647,23.30442349335617,222.11261676696756,0.3990993177881745,0.3180448474888261
52.22,0.06044300682166712,0.03939874826339398,0.027689654489599563,619.6343119565219,7396.82669062915,23.30448935790172,222.1131208539264,0.3991004902825067,0.3180448103455295
52.221,0.060442296902806836,0.039398892140913334,0.027689707692787283,619.633550377326,7396.782385518666,23.304555251421505,222.1136251612786,0.3991016625958783,0.31804477324342034
52.222,0.0604415869440915,0.03939903605835315,0.02768976100029311,619.6327885056633,7396.738072800195,23.30462117391458,222.11412968901502,0.39910283472826724,0.3180447361824964
52.223,0.060440876945529645,0.03939918001571099,0.027689814412116615,619.6320263415339,7396.693752473739,23.304687125379992,222.11463443712657,0.3991040066796515,0.31804469916275535
52.224,0.06044016690712981,0.039399324012984425,0.027689867928257384,619.6312638849379,7396.649424539295,23.304753105816797,222.11513940560417,0.39910517845000915,0.31804466218419514
52.225,0.06043945682890052,0.03939946805017103,0.027689921548714993,619.6305011358751,7396.605088996865,23.304819115224042,222.11564459443875,0.39910635003931805,0.31804462524681343
52.226,0.06043874671085033,0.03939961212726836,0.027689975273489015,619.6297380943456,7396.560745846447,23.30488515360078,222.11615000362113,0.3991075214475563,0.3180445883506081
52.227,0.06043803655298776,0.039399756244274005,0.027690029102579023,619.6289747603494,7396.516395088044,23.304951220946062,222.11665563314227,0.3991086926747019,0.3180445514955769
52.228,0.060437326355321355,0.039399900401185524,0.0276900830359846,619.6282111338863,7396.472036721654,23.305017317258937,222.11716148299303,0.3991098637207328,0.3180445146817176
52.229,0.06043661611785965,0.03940004459800047,0.027690137073705313,619.6274472149566,7396.427670747278,23.305083442538457,222.11766755316432,0.399111034585627,0.31804447790902807
52.23,0.06043590584061119,0.039400188834716424,0.027690191215740737,619.6266830035603,7396.383297164915,23.305149596783664,222.11817384364699,0.39911220526936253,0.318044441177506
52.231,0.060435195523584506,0.039400333111330954,0.027690245462090448,619.6259184996971,7396.338915974566,23.305215779993617,222.11868035443192,0.3991133757719174,0.31804440448714927
52.232,0.060434485166788156,0.03940047742784161,0.027690299812754008,619.6251537033672,7396.294527176229,23.305281992167355,222.11918708551,0.3991145460932696,0.3180443678379556
